Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
countries list get,20,19,7,111,"21,21","0,000%",",70129","210,82","0,27","307840,0"
Total,20,19,7,111,"21,21","0,000%",",70129","210,82","0,27","307840,0"
