Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
products list get,20,33,10,109,"22,16","0,000%",",70087","1012,65","0,27","1479529,0"
Total,20,33,10,109,"22,16","0,000%",",70087","1012,65","0,27","1479529,0"
