Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
culture countries list get,20,5112,5,23247,"7606,62","0,000%",",35077","105,45","0,15","307840,0"
Total,20,5112,5,23247,"7606,62","0,000%",",35077","105,45","0,15","307840,0"
